0.02:  193.7557,174.0436,94.20018,
ParticipantNo: 214
ParticipantGen: 0
Date: 10/23/17
ExperimentType: 0
AltExperiment: False
AutoExperiment: False
!!1_dsp1_21
8.45:  74.63311,136.7375,348.6999,box 4,7
8.47:  74.58022,137.0257,349.5999,box 4,7
8.48:  74.53221,137.3065,350.2999,box 4,7
8.5:  74.4846,137.5972,350.6999,box 4,7
8.51:  74.43698,137.8945,350.8999,box 4,7
8.53:  74.39115,138.1906,351.1999,box 4,7
8.55:  74.34488,138.5002,351.4999,box 4,7
8.57:  74.3023,138.7993,351.8999,box 4,7
8.58:  74.26064,139.0958,351.9999,box 4,7
8.6:  74.21944,139.3966,352.1999,box 4,7
8.62:  74.18029,139.6939,352.4999,box 4,7
8.63:  74.14517,139.968,352.6999,box 4,7
8.65:  74.10804,140.2662,352.8999,box 4,7
8.66:  74.07283,140.5659,353.2999,box 4,7
8.68:  74.04205,140.8638,354.0999,box 3,7
8.7:  74.01047,141.1918,354.4999,box 3,7
8.72:  73.98242,141.4941,354.6999,box 3,7
8.73:  73.95513,141.7882,354.6999,box 3,7
8.75:  73.9275,142.0919,354.7999,box 3,7
8.77:  73.9008,142.3852,354.7999,box 3,7
8.78:  73.8735,142.6852,354.7999,box 3,7
8.8:  73.84626,142.9845,354.7999,box 3,7
8.82:  73.8191,143.2829,354.7999,box 3,7
8.83:  73.79197,143.5811,354.7999,box 3,7
8.85:  73.76465,143.8812,354.7999,box 3,7
8.87:  73.73801,144.174,354.7999,box 3,7
8.88:  73.70987,144.4832,354.7999,box 3,7
8.9:  73.68349,144.7729,354.7999,box 3,7
8.92:  73.65592,145.0759,354.7999,box 3,7
8.93:  73.62894,145.3725,354.7999,box 3,7
8.95:  73.60193,145.6692,354.7999,box 3,7
8.97:  73.57468,145.9686,354.7999,box 3,7
8.98:  73.54738,146.2686,354.7999,box 3,7
9:  73.52122,146.5675,354.9999,box 3,7
9.02:  73.49554,146.8671,355.0999,box 3,7
9.03:  73.47046,147.1658,355.1999,box 3,7
9.05:  73.44508,147.4681,355.1999,box 3,7
9.07:  73.42072,147.7644,355.2999,box 3,7
9.08:  73.39603,148.0646,355.2999,box 3,7
9.1:  73.37106,148.3749,355.3999,box 3,7
9.12:  73.3483,148.6579,355.3999,box 3,7
9.13:  73.32632,148.931,355.3999,box 3,7
9.15:  73.30215,149.2314,355.3999,box 3,7
9.16:  73.27799,149.5317,355.3999,box 3,7
9.18:  73.25383,149.8319,355.3999,box 3,7
9.2:  73.23031,150.1309,355.4999,box 3,7
9.21:  73.20648,150.4335,355.4999,box 3,7
9.23:  73.18129,150.7537,355.4999,box 3,7
9.25:  73.15772,151.0531,355.4999,box 3,7
9.27:  73.13378,151.3573,355.4999,box 3,7
9.28:  73.11069,151.6506,355.4999,box 3,7
9.3:  73.08682,151.954,355.4999,box 3,7
9.32:  73.06382,152.2462,355.4999,box 3,7
9.33:  73.03986,152.5507,355.4999,box 3,7
9.35:  73.01669,152.845,355.4999,box 3,7
9.37:  72.99293,153.147,355.4999,box 3,7
9.38:  72.9695,153.4447,355.4999,box 3,7
9.4:  72.94584,153.7453,355.4999,box 3,7
9.42:  72.92142,154.0555,355.4999,box 3,7
9.43:  72.89815,154.3513,355.4999,box 3,7
9.45:  72.87539,154.6405,355.4999,box 3,7
9.47:  72.85185,154.9395,355.4999,box 3,7
9.48:  72.8298,155.2197,355.4999,box 3,7
9.5:  72.80666,155.5138,355.4999,box 3,7
9.51:  72.78309,155.8132,355.4999,box 3,7
9.53:  72.75936,156.1147,355.4999,box 3,7
9.55:  72.73563,156.4162,355.4999,box 3,7
