0.02:  193.4113,171.7664,85.69999,
ParticipantNo: 218
ParticipantGen: 0
Date: 10/25/17
ExperimentType: 0
AltExperiment: False
AutoExperiment: False
!!1_dsp1_16
5.3:  43.88371,191.586,81.70004,box 1,8
5.32:  44.19006,191.6301,81.80004,box 1,8
5.33:  44.47715,191.6715,81.80004,box 1,8
5.35:  44.78128,191.7148,81.90003,box 1,8
5.37:  45.07595,191.7551,82.20004,box 1,8
5.38:  45.37652,191.7942,82.60004,box 1,8
5.4:  45.66848,191.8295,83.10004,box 1,8
5.42:  45.96801,191.8636,83.50005,box 1,8
5.43:  46.26057,191.8959,83.70005,box 1,8
5.45:  46.56604,191.928,84.00005,box 1,8
5.47:  46.85642,191.9565,84.40005,box 1,8
5.48:  47.15741,191.985,84.60005,box 1,8
5.5:  47.45634,192.0111,85.00005,box 1,8
5.52:  47.75779,192.0359,85.30006,box 1,8
5.53:  48.05372,192.0582,85.70006,box 1,8
5.55:  48.35799,192.0789,86.10006,box 1,8
5.57:  48.65413,192.0975,86.40006,box 1,8
5.58:  48.95349,192.1143,86.80006,box 1,8
5.6:  49.25108,192.1299,87.00007,box 1,8
5.62:  49.55584,192.1442,87.30006,box 1,8
5.63:  49.81799,192.1557,87.50007,box 1,8
5.65:  50.12347,192.1674,87.80006,box 1,8
5.67:  50.45436,192.1778,88.20007,box 1,8
5.68:  50.75579,192.1857,88.50007,box 1,8
5.7:  51.05315,192.1919,88.80006,box 1,8
5.72:  51.35132,192.1961,89.20007,box 1,8
5.73:  51.63045,192.1985,89.50007,box 1,8
5.75:  51.93267,192.1991,89.90007,box 1,8
5.76:  52.2296,192.198,90.20007,box 1,8
5.78:  52.53242,192.1954,90.50007,box 1,8
5.8:  52.85088,192.1904,90.90006,box 1,8
5.82:  53.14566,192.1842,91.20007,box 1,8
5.83:  53.44337,192.1769,91.40007,box 1,8
5.85:  53.74427,192.168,91.70007,box 1,8
5.87:  54.04206,192.1581,91.90007,box 1,8
5.88:  54.34269,192.1471,92.10006,box 1,8
5.9:  54.64354,192.135,92.30006,box 1,8
5.92:  54.94612,192.1218,92.50006,box 1,8
5.93:  55.24022,192.1089,92.50006,box 1,8
5.95:  55.54284,192.0952,92.60006,box 1,8
5.96:  55.83518,192.0819,92.60006,box 1,8
5.98:  56.14589,192.0667,92.80006,box 1,8
6:  56.44195,192.0517,92.90006,box 1,8
6.01:  56.73763,192.0362,93.00005,box 1,8
6.03:  57.04112,192.0198,93.10006,box 1,8
6.05:  57.33835,192.0032,93.20006,box 1,8
6.07:  57.6392,191.9853,93.40005,box 1,8
6.08:  57.90751,191.9684,93.60005,box 1,8
6.1:  58.21298,191.9476,93.90005,box 1,8
6.12:  58.54381,191.9233,94.20005,box 1,8
6.13:  58.84629,191.8995,94.50005,box 1,8
6.15:  59.14929,191.8735,94.90005,box 1,8
6.17:  59.44386,191.8457,95.40005,box 1,8
6.18:  59.74077,191.8113,96.60005,box 1,8
6.2:  60.03854,191.7716,97.60005,box 1,8
6.22:  60.33218,191.7262,98.80005,box 1,8
6.23:  60.62904,191.6706,100.6001,box 1,8
6.25:  60.92172,191.6046,102.7001,box 1,8
6.27:  61.2097,191.5275,105,box 1,8
6.28:  61.4965,191.4359,107.7001,box 1,8
6.3:  61.78067,191.3303,110.4001,box 1,8
6.32:  62.05697,191.2118,113.2001,box 1,8
6.33:  62.35451,191.0549,117.8001,box 1,8
6.35:  62.60059,190.9077,120.9,box 1,7
6.37:  62.85191,190.7388,123.9001,box 1,7
6.38:  63.09134,190.5616,126.5001,box 1,7
6.4:  63.32591,190.373,128.8,box 1,7
6.42:  63.55676,190.1745,130.7001,box 1,7
6.43:  63.78088,189.9713,132.2,box 1,7
6.45:  63.99773,189.7662,133.4001,box 1,7
6.47:  64.21236,189.5567,134.3001,box 1,7
6.48:  64.42079,189.3483,135.0001,box 1,7
6.5:  64.63324,189.1313,135.6001,box 1,7
6.52:  64.83876,188.9178,136.1001,box 1,7
6.53:  65.04807,188.6941,136.9001,box 1,7
6.55:  65.24626,188.4786,137.4001,box 1,7
6.57:  65.45213,188.2499,138,box 1,7
6.58:  65.60894,188.0739,138.3,box 1,7
6.6:  65.80907,187.8421,139.2,box 1,7
6.61:  65.99842,187.6091,140.9,box 1,7
6.63:  66.18668,187.3664,142.2,box 1,7
6.65:  66.36134,187.1277,143.8,box 1,7
6.66:  66.53065,186.8795,145.7,box 1,7
6.68:  66.6983,186.6243,146.7,box 1,7
6.7:  66.86533,186.3507,148.6,box 1,7
6.72:  67.01089,186.0945,150.4,box 1,7
6.73:  67.15279,185.8242,152.3,box 1,7
6.75:  67.28251,185.5582,154,box 1,7
6.77:  67.40688,185.2775,156.1,box 1,7
6.78:  67.52036,185.0063,157.3,box 1,7
6.8:  67.62939,184.728,158.6,box 1,7
6.82:  67.73156,184.4443,160.2,box 1,7
6.83:  67.82738,184.1579,161.5,box 1,7
6.85:  67.91668,183.8729,162.6,box 1,7
6.87:  68.00183,183.5855,163.5,box 1,7
6.88:  68.0827,183.2978,164.3,box 1,7
6.9:  68.16248,183.0081,164.6,box 2,7
6.92:  68.2401,182.7204,164.9,box 2,7
6.93:  68.3175,182.4275,165.2,box 2,7
6.95:  68.39017,182.1424,165.7,box 2,7
6.97:  68.46252,181.8479,166.2,box 2,7
6.98:  68.53049,181.558,166.8,box 2,7
7:  68.59632,181.2683,167.2,box 2,7
7.02:  68.66078,180.9751,167.6001,box 2,7
7.03:  68.72287,180.6855,167.9,box 2,7
7.05:  68.7838,180.3913,168.3,box 2,7
7.07:  68.84321,180.0966,168.6,box 2,7
7.08:  68.89674,179.8237,168.9,box 2,7
7.1:  68.95287,179.5267,169.3,box 2,7
7.11:  69.00613,179.2307,169.8,box 2,7
7.13:  69.05537,178.9365,170.5,box 2,7
7.15:  69.10281,178.6369,171,box 2,7
7.16:  69.14935,178.3328,171.3,box 2,7
7.18:  69.1961,178.0237,171.4,box 2,7
7.2:  69.2436,177.7096,171.4,box 2,7
7.22:  69.28889,177.4102,171.4,box 2,7
7.23:  69.33437,177.1094,171.4,box 2,7
7.25:  69.37843,176.818,171.4,box 2,7
7.27:  69.42358,176.5195,171.4,box 2,7
7.28:  69.46814,176.2249,171.4,box 2,7
7.3:  69.51319,175.927,171.4,box 2,7
7.32:  69.55779,175.6321,171.4,box 2,7
7.33:  69.60344,175.3302,171.4,box 2,7
7.35:  69.64745,175.0392,171.4,box 2,7
7.37:  69.69333,174.7359,171.4,box 2,7
7.38:  69.73744,174.4442,171.4,box 2,7
7.4:  69.78236,174.1472,171.4,box 2,7
7.42:  69.82767,173.8476,171.4,box 2,7
7.43:  69.87212,173.5536,171.4,box 2,7
7.45:  69.91732,173.2548,171.4,box 2,7
7.47:  69.96169,172.9614,171.4,box 2,7
7.48:  70.00722,172.6604,171.4,box 2,7
7.5:  70.05179,172.3656,171.4,box 2,7
7.52:  70.09712,172.0659,171.4,box 2,7
7.53:  70.14159,171.7719,171.4,box 2,7
7.55:  70.18617,171.4771,171.4,box 2,7
7.57:  70.23058,171.1834,171.4,box 2,7
7.58:  70.27554,170.8862,171.4,box 2,7
7.6:  70.32097,170.5858,171.4,box 2,7
7.62:  70.36626,170.2863,171.4,box 2,7
7.63:  70.40966,169.9994,171.4,box 2,7
7.65:  70.45341,169.7134,171.3,box 2,7
7.67:  70.4978,169.4234,171.3,box 2,7
7.68:  70.54413,169.1206,171.3,box 2,7
7.7:  70.58885,168.8283,171.3,box 2,7
7.72:  70.63443,168.5305,171.3,box 2,7
7.73:  70.67964,168.235,171.3,box 2,7
7.75:  70.72538,167.9361,171.3,box 2,7
7.77:  70.77171,167.6333,171.3,box 2,7
7.78:  70.81615,167.3429,171.3,box 2,7
7.8:  70.86119,167.0486,171.3,box 2,7
7.82:  70.90694,166.7496,171.3,box 2,7
7.83:  70.95201,166.455,171.3,box 2,7
7.85:  70.99744,166.1582,171.3,box 2,7
7.87:  71.04241,165.8643,171.3,box 2,7
7.88:  71.08825,165.5647,171.3,box 2,7
7.9:  71.13353,165.2688,171.3,box 2,7
7.92:  71.17929,164.9698,171.3,box 2,7
7.93:  71.22462,164.6735,171.3,box 2,7
7.95:  71.27,164.377,171.3,box 2,7
7.97:  71.31516,164.0819,171.3,box 2,7
7.98:  71.35736,163.7816,172,box 2,7
8:  71.39663,163.4833,172.5,box 3,7
8.02:  71.43482,163.1892,172.6,box 3,7
8.03:  71.47261,162.8983,172.6,box 3,7
8.05:  71.51126,162.5923,172.8,box 3,7
8.07:  71.54795,162.2978,172.9,box 3,7
8.08:  71.58459,161.995,173.1,box 3,7
8.1:  71.61532,161.7334,173.3,box 3,7
8.11:  71.65005,161.4286,173.5,box 3,7
8.13:  71.68323,161.1281,173.7,box 3,7
8.15:  71.71502,160.8306,173.9,box 3,7
8.16:  71.74699,160.5264,174,box 3,7
8.18:  71.77805,160.2259,174.1,box 3,7
