0.02:  36.33662,31.57453,187.8998,
ParticipantNo: 230b
ParticipantGen: 1
Date: 11/6/2017
ExperimentType: 1
AltExperiment: True
AutoExperiment: False
!!1_dsp2_10
7.47:  113.5052,132.3003,350.7,box 5,6
7.48:  113.4629,132.609,352.2,box 5,6
7.5:  113.4273,132.8913,352.8,box 5,6
7.52:  113.3897,133.197,353,box 5,6
7.53:  113.3545,133.4843,353,box 5,6
7.55:  113.3169,133.7902,353,box 5,6
7.57:  113.2814,134.0792,353,box 5,6
7.58:  113.2438,134.3855,353,box 5,6
7.6:  113.2087,134.6716,353,box 5,6
7.62:  113.171,134.9787,353,box 5,6
7.63:  113.1357,135.2656,353,box 5,6
7.65:  113.1001,135.556,353,box 5,6
7.67:  113.064,135.8495,353,box 5,6
7.68:  113.0274,136.1484,353,box 5,6
7.7:  112.9905,136.4485,353,box 5,6
7.72:  112.9519,136.7538,352.8,box 5,6
7.73:  112.9123,137.0634,352.7,box 5,6
7.75:  112.8743,137.356,352.5999,box 5,6
7.77:  112.835,137.6584,352.5999,box 5,6
7.78:  112.7952,137.9565,352.4,box 5,6
7.8:  112.7532,138.2556,352,box 5,6
7.82:  112.7104,138.5487,351.7,box 5,6
7.83:  112.6646,138.8482,351.3,box 5,6
7.85:  112.6183,139.1408,351,box 5,6
7.87:  112.5681,139.4376,350.4,box 5,6
7.88:  112.5122,139.7247,349,box 5,6
7.9:  112.4297,140.0244,344.5999,box 5,6
7.92:  112.3327,140.3091,341.2,box 5,6
7.93:  112.2202,140.5891,338.0999,box 5,6
7.95:  112.0978,140.8565,335.4,box 5,7
7.97:  111.9611,141.1294,333.4,box 5,7
7.98:  111.8255,141.3866,332.2,box 5,7
8:  111.6821,141.6531,331.7,box 5,7
8.02:  111.5383,141.9189,331.5999,box 5,7
8.03:  111.3961,142.1808,331.5,box 5,7
8.05:  111.2484,142.4461,330.9,box 5,7
8.07:  111.0948,142.707,329.5,box 5,7
8.08:  110.9287,142.9617,326.9,box 5,7
8.1:  110.7618,143.2055,325.6,box 5,7
8.12:  110.5994,143.4357,324.8,box 5,7
8.13:  110.429,143.6737,324.4,box 5,7
8.15:  110.2514,143.9191,324.0999,box 5,7
